name,schema_name,url,base_diff_pct,refresh_diff_pct,cls_after_click,cls_after_manual,status,error,pre_click_png,post_click_png,post_refresh_png,base_diff_png,refresh_diff_png
Dawn,Dawn,https://theme-dawn-demo.myshopify.com/products/bo-ivy-black,1.4704,,0,,ERROR,Protocol error (Runtime.callFunctionOn): Target closed,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\refresh_diff.png
Nest,,https://mrparkerdemo.myshopify.com/collections/bed-bath/products/unikko-f-q-duvet-set,,,,,ERROR,Attempted to use detached Frame 'B0447883EE91454997F051B7E43B5CA6'.,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\refresh_diff.png
Balance,,https://impact-theme-shape.myshopify.com/products/infinity-bra-navy-blue,,,,,ERROR,Attempted to use detached Frame 'B0447883EE91454997F051B7E43B5CA6'.,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\refresh_diff.png
Pillar,,https://hyper-pillar.myshopify.com/products/breezy-sock,,,,,ERROR,Attempted to use detached Frame 'B0447883EE91454997F051B7E43B5CA6'.,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\refresh_diff.png
Flora,,https://grid-theme-light.myshopify.com/collections/clearance/products/finn-jumpsuit-poppy?variant=32029844832330,,,,,ERROR,Attempted to use detached Frame 'B0447883EE91454997F051B7E43B5CA6'.,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\refresh_diff.png
Jellybean,,https://uplift-theme-myshopify.com/products/beanie-lion,,,,,ERROR,Attempted to use detached Frame 'B0447883EE91454997F051B7E43B5CA6'.,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\refresh_diff.png
Dawn,Dawn,https://theme-dawn-demo.myshopify.com/products/bo-ivy-black,1.4706,9.6277,0,0.00897365586419753,NO-PASS,refresh_nonzero_change,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\refresh_diff.png
Nest,Mr Parker,https://mrparkerdemo.myshopify.com/collections/bed-bath/products/unikko-f-q-duvet-set,23.7204,53.2721,0.0002706656234728357,0.06549494470266631,NO-PASS,refresh_nonzero_change,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\refresh_diff.png
Balance,Impact,https://impact-theme-shape.myshopify.com/products/infinity-bra-navy-blue,44.5948,69.3690,0.002914628858024691,0.022353888117283952,NO-PASS,refresh_nonzero_change,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\refresh_diff.png
Pillar,Hyper,https://hyper-pillar.myshopify.com/products/breezy-sock,28.2627,54.3390,0,0.0002611388888888889,NO-PASS,refresh_nonzero_change,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\refresh_diff.png
